item_no,url_id,business_function,target_business_function,page_title,source_url,site_name,original_priority,normalized_decision,decision_reason,page_type,fetch_strategy,parser_profile,auth_required,asset_policy,content_scope,review_required,crawl_wave,crawl_status,expected_output,need_reason,content_summary,notes
1,DP-001,예금자보호제도,예금자보호제도,보호한도,https://www.kdic.or.kr/sp/dpstrprot/ProtSystProtLmts/selectScrn.do,예금보험공사,필수,include_full,업무 질문의 직접 근거로 사용 가능한 공식 안내 페이지,static_page,requests_html,kdic_static_v1,no,none,full_body,no,W1_STATIC,not_tested,원본 HTML + 구조 보존 본문 + 메타데이터,예솜24 URL,1인당 예금보호한도 1억원과 초과금액 비보호 원칙 설명,
2,DP-002,예금자보호제도,예금자보호제도,예금자보호제도,https://www.kdic.or.kr/sp/dpstrprot/ProtSyst/selectScrn.do,예금보험공사,필수,include_full,업무 질문의 직접 근거로 사용 가능한 공식 안내 페이지,static_page,requests_html,kdic_static_v1,no,none,full_body,no,W1_STATIC,not_tested,원본 HTML + 구조 보존 본문 + 메타데이터,예솜24 기능1 대표항목과 개념 일치,예금보험공사가 보험료를 적립해 두었다가 금융회사 대신 예금을 지급하는 원리 설명,
3,DP-003,예금자보호제도,예금자보호제도,보호대상 > 금융회사 > 개요,https://www.kdic.or.kr/sp/dpstrprot/selectProtSystProtSumr.do,예금보험공사,필수,include_full,업무 질문의 직접 근거로 사용 가능한 공식 안내 페이지,static_page,requests_html,kdic_static_v1,no,none,full_body,no,W1_STATIC,not_tested,원본 HTML + 구조 보존 본문 + 메타데이터,예솜24 URL,예금보호 대상 금융회사 종류(은행·보험사·투자매매업자 등) 나열,
4,DP-004,예금자보호제도,예금자보호제도,보호대상 > 금융상품 > 개요,https://www.kdic.or.kr/sp/dpstrprot/selectProtSystProtTrgtPrdctSumr.do,예금보험공사,필수,include_full,업무 질문의 직접 근거로 사용 가능한 공식 안내 페이지,static_page,requests_html,kdic_static_v1,no,none,full_body,no,W1_STATIC,not_tested,원본 HTML + 구조 보존 본문 + 메타데이터,예솜24 URL,예금보호 대상 금융상품과 비대상 상품(투자신탁 등)의 구분 기준 설명,
5,DP-005,예금자보호제도,예금자보호제도,"고객센터 > FAQ > 미수령금통합신청(사이트 분류상 명칭, 실제 내용은 예금보호)",https://fins.kdic.or.kr/cm/bbs/selectFaqNramtAply.do,금융안심포털,필수,include_full,업무 질문의 직접 근거로 사용 가능한 공식 안내 페이지,faq,requests_html,fins_faq_v1,no,none,full_body,no,W1_STATIC,not_tested,원본 HTML + 구조 보존 본문 + 메타데이터,예솜24 기능1(보호한도·보호대상)과 개념 일치,"예금보호한도, 계열 저축은행 분산예금 보호, 영업정지 후 예금인출 절차를 다룬 FAQ",
6,DP-006,예금자보호제도,예금자보호제도,예금자보호제도 FAQ,https://www.kdic.or.kr/sp/dpstrprot/ProtSystFaq/selectScrn.do,예금보험공사,수집,include_full,업무 질문의 직접 근거로 사용 가능한 공식 안내 페이지,faq,requests_html,kdic_faq_v1,no,none,full_body,no,W1_STATIC,not_tested,원본 HTML + 구조 보존 본문 + 메타데이터,예솜24 기능1과 주제는 같지만 2025년 한도 상향 등 예솜24에 없던 최신 사례를 다룸,2025년 9월 예금보호한도 상향 등 최신 FAQ 사례를 담음,
7,DP-007,예금자보호제도,예금자보호제도,예금자보호한도(해외),https://www.kdic.or.kr/di/bzpblnt/selectPbcrPblntProtLmtsOvrs.do,예금보험공사,exclude,exclude,해외 비교자료로 6개 핵심 업무의 직접 답변 근거가 아님,reference_comparison,exclude,skip,no,none,none,no,SKIP,skipped_by_policy,수집하지 않음,예솜24에 없던 해외 비교 자료,미국·캐나다·일본·영국·독일의 예금보호한도를 비교한 표,
8,BI-001,예금보험금 안내,예금보험금 안내,예금보험금 안내 > 신청시 구비서류,https://www.kdic.or.kr/sp/dpstrprot/DpsmIbamtAplyPossDcmnt/selectScrn.do,예금보험공사,필수,include_full,업무 질문의 직접 근거로 사용 가능한 공식 안내 페이지,static_page,requests_html,kdic_static_v1,no,none,full_body,no,W1_STATIC,not_tested,원본 HTML + 구조 보존 본문 + 메타데이터,예솜24 2.1 신청서류 항목과 개념 일치,본인·대리인·미성년자 등 신청인 유형별 구비서류 안내,
9,BI-002,예금보험금 안내,예금보험금 안내,예금보험금 신청 절차 > 예금보험금 신청절차,https://www.kdic.or.kr/sp/dpstrprot/DpsmIbamtAplyProc/selectScrn.do,예금보험공사,필수,include_full,업무 질문의 직접 근거로 사용 가능한 공식 안내 페이지,process_page,requests_html,kdic_static_v1,no,none,full_body,no,W1_ASSET,not_tested,원본 HTML + 구조 보존 본문 + 메타데이터,예솜24 2.2 신청 절차 항목과 개념 일치,보험사고 발생부터 지급공고·신청·지급까지의 절차 설명,
10,BI-003,예금보험금 안내,예금보험금 안내,예금보험금이란?,https://www.kdic.or.kr/sp/dpstrprot/DpsmIbamtExpln/selectScrn.do,예금보험공사,필수,include_full,업무 질문의 직접 근거로 사용 가능한 공식 안내 페이지,static_page,requests_html,kdic_static_v1,no,none,full_body,no,W1_STATIC,not_tested,원본 HTML + 구조 보존 본문 + 메타데이터,예솜24 기능2 대표항목과 개념 일치,예금보험금(가지급금·개산지급금)의 정의 설명,
11,BI-004,예금보험금 안내,예금보험금 안내,예금보험금 안내 > 보험금 지급대상 금융회사,https://www.kdic.or.kr/sp/dpstrprot/selectProtSystBamtGiveTrgtFnst.do,예금보험공사,부분수집 권장,include_partial,조회 조건·페이지네이션 요청을 분석한 뒤 공개 결과만 부분 수집,dynamic_lookup,dynamic_http_then_playwright,kdic_dynamic_lookup_v1,no,none,query_results,yes,W2_DYNAMIC,not_tested,공개 범위 원본/결과 + 메타데이터,"예솜24 기능2와 주제는 같지만, 파산금융회사별 검색 기능은 예솜24에 없던 내용",파산금융회사별 예금보험금 지급대상 여부 검색 가능,
12,UN-001,고객 미수령금 신청,고객 미수령금 신청,미수령금 통합조회/신청 > 고객미수령금,https://www.kdic.or.kr/sp/dpstrprot/ProtSystNramtInqAplyNramtGudn/selectScrn.do,예금보험공사,필수,include_full,업무 질문의 직접 근거로 사용 가능한 공식 안내 페이지,static_page,requests_html,kdic_static_v1,no,none,full_body,no,W1_STATIC,not_tested,원본 HTML + 구조 보존 본문 + 메타데이터,예솜24 기능3 대표항목과 제목·개념 일치,미수령금의 정의와 인터넷·방문 신청 방법 안내,
13,UN-002,고객 미수령금 신청,고객 미수령금 신청,미수령금통합신청 > 소개와 신청방법 안내 > 예금자 대상 전화문의 안내,https://fins.kdic.or.kr/ua/aplygudn/DpstrTrgtTelQustGudn/selectScrn.do,금융안심포털,필수,include_full,업무 질문의 직접 근거로 사용 가능한 공식 안내 페이지,static_page,requests_html,fins_static_v1,no,none,full_body,no,W1_STATIC,not_tested,원본 HTML + 구조 보존 본문 + 메타데이터,예솜24 3.2 방문 신청 항목과 유사한 전화 문의 채널,명의 변경 시 문의 방법과 미수령금 관련 전화상담 안내를 담음,
14,UN-003,고객 미수령금 신청,고객 미수령금 신청,미수령금통합신청 > 소개와 신청방법 안내 > 안내,https://fins.kdic.or.kr/ua/aplygudn/NramtItgrAplyItrdMthdGudn/selectScrn.do,금융안심포털,필수,include_full,업무 질문의 직접 근거로 사용 가능한 공식 안내 페이지,static_page,requests_html,fins_static_v1,no,none,full_body,no,W1_STATIC,not_tested,원본 HTML + 구조 보존 본문 + 메타데이터,예솜24 기능3 대표항목 및 3.1·3.2 신청방법 항목과 개념 일치,미수령금 종류와 온라인·오프라인 신청 방법 설명,
15,UN-004,고객 미수령금 신청,고객 미수령금 신청,미수령금 통합조회/신청 > 상속인 금융거래조회,https://www.kdic.or.kr/sp/dpstrprot/ProtSystHrpeHistInq/selectScrn.do,예금보험공사,수,include_full,업무 질문의 직접 근거로 사용 가능한 공식 안내 페이지,static_page,requests_html,kdic_static_v1,no,none,full_body,no,W1_STATIC,not_tested,원본 HTML + 구조 보존 본문 + 메타데이터,"예솜24 기능3과 주제는 같지만, 상속인 대상 조회 기능은 예솜24에 없던 내용",사망자(피상속인) 명의 미수령금을 상속인이 조회하는 서비스,
16,MT-001,착오송금 반환 신청,착오송금 반환 신청,착오송금 반환지원제도 > 착오송금반환지원 제도란,https://www.kdic.or.kr/sp/kmrs/kmrsItrd/selectScrn.do,예금보험공사,필수(영상 데이터),include_full,본문은 수집하고 영상은 URL·제목·설명 메타데이터 우선,video_page,requests_html_assets,kdic_static_v1,no,video_metadata,body_plus_asset_metadata,no,W1_ASSET,not_tested,원본 HTML + 구조 보존 본문 + 메타데이터,예솜24 기능4 대표항목과 개념 일치,착오송금 반환지원 제도의 취지와 개요 설명,
17,MT-002,착오송금 반환 신청,착오송금 반환 신청,착오송금 반환지원제도 > 착오송금반환지원 절차,https://www.kdic.or.kr/sp/kmrs/kmrsItrdProc/selectScrn.do,예금보험공사,필수,include_full,업무 질문의 직접 근거로 사용 가능한 공식 안내 페이지,process_page,requests_html,kdic_static_v1,no,none,full_body,no,W1_ASSET,not_tested,원본 HTML + 구조 보존 본문 + 메타데이터,예솜24 4.1 반환지원 절차 항목과 문구가 거의 동일,신청부터 회수·반환까지 5단계 절차 설명,
18,MT-003,착오송금 반환 신청,착오송금 반환 신청,착오송금 반환지원제도 > 착오송금반환지원 신청방법,https://www.kdic.or.kr/sp/kmrs/kmrsItrdAplyMthd/selectScrn.do,예금보험공사,필수,include_full,업무 질문의 직접 근거로 사용 가능한 공식 안내 페이지,static_page,requests_html,kdic_static_v1,no,none,full_body,no,W1_STATIC,not_tested,원본 HTML + 구조 보존 본문 + 메타데이터,예솜24 4.2 신청방법 항목과 개념 일치,인터넷·방문 신청 방법과 접수처 안내,
19,MT-004,착오송금 반환 신청,착오송금 반환 신청,고객센터 > FAQ > 착오송금반환지원신청,https://fins.kdic.or.kr/cm/bbs/selectFaqMsdrGvbkAply.do,금융안심포털,exclude,exclude,현재 조사 결과에서 범위 제외로 결정됨,faq,exclude,skip,no,none,none,no,SKIP,skipped_by_policy,수집하지 않음,예솜24 4.1·4.2 항목과 개념이 일치하며 실무 세부사항 보강,대상금액·기간·제외사유 등 착오송금 반환지원 FAQ를 담음,
20,MT-005,착오송금 반환 신청,착오송금 반환 신청,고객센터 > FAQ > TOP 10,https://fins.kdic.or.kr/cm/bbs/selectFaqTop10.do,금융안심포털,필수,include_full,업무 질문의 직접 근거로 사용 가능한 공식 안내 페이지,faq,requests_html,fins_faq_v1,no,none,full_body,no,W1_STATIC,not_tested,원본 HTML + 구조 보존 본문 + 메타데이터,예솜24 착오송금반환지원 절차 항목과 개념 일치,착오송금 반환지원 관련 최다조회 질문 10건 요약,
21,MT-006,착오송금 반환 신청,착오송금 반환 신청,착오송금반환지원 > 착오송금수취인 > 유의사항,https://fins.kdic.or.kr/ir/addrse/AddrseAttnMttr/selectScrn.do,금융안심포털,필수,include_full,업무 질문의 직접 근거로 사용 가능한 공식 안내 페이지,static_page,requests_html,fins_static_v1,no,none,full_body,no,W1_STATIC,not_tested,원본 HTML + 구조 보존 본문 + 메타데이터,예솜24 착오송금수취인 이의제기·환급신청 항목과 개념 일치,"자진반환 기한, 이의제기 방법, 이체수수료 환급 절차 안내",
22,MT-007,착오송금 반환 신청,착오송금 반환 신청,착오송금반환지원 > 소개와 방법안내 > 구비서류안내 > 착오송금수취인,https://fins.kdic.or.kr/ir/aplygudn/MsdrAddrsePossDcmntGudn/selectScrn.do,금융안심포털,필수(첨부파일),include_full,수취인 이의제기·환급 신청 서식을 함께 수집,attachment_page,requests_html_attachments,fins_attachment_v1,no,download_attachments,body_plus_attachments,no,W1_ASSET,not_tested,원본 HTML + 구조 보존 본문 + 메타데이터,예솜24 이의제기·환급신청 구비서류 항목과 개념 일치,이의제기서·이체수수료환급신청서 등 서식 제공,
23,MT-008,착오송금 반환 신청,착오송금 반환 신청,착오송금반환지원 > 소개와 방법안내 > 구비서류안내 > 착오송금인,https://fins.kdic.or.kr/ir/aplygudn/MsdrprPossDcmntGudn/selectScrn.do,금융안심포털,필수(첨부파일),include_full,신청인 유형별 표와 첨부 서식을 함께 수집,attachment_page,requests_html_attachments,fins_attachment_v1,no,download_attachments,body_plus_attachments,no,W1_ASSET,not_tested,원본 HTML + 구조 보존 본문 + 메타데이터,예솜24 착오송금인 신청방법 하위 구비서류 항목과 개념 일치,신청인 유형별(본인·대리인·법인 등) 구비서류를 표로 정리,
24,MT-009,착오송금 반환 신청,착오송금 반환 신청,착오송금반환지원 > 소개와 방법안내 > 반환지원절차,https://fins.kdic.or.kr/ir/aplygudn/MtrsGvbkSprtProc/selectScrn.do,금융안심포털,필수,include_full,업무 질문의 직접 근거로 사용 가능한 공식 안내 페이지,process_page,requests_html,fins_static_v1,no,none,full_body,no,W1_ASSET,not_tested,원본 HTML + 구조 보존 본문 + 메타데이터,예솜24 반환지원 절차 항목과 절차 순서까지 일치,신청부터 잔액반환까지 5단계 절차를 캐릭터 스토리텔링으로 설명,
25,MT-010,착오송금 반환 신청,착오송금 반환 신청,착오송금반환지원 > 소개와 방법안내 > 관련법령 및 규정,https://fins.kdic.or.kr/ir/aplygudn/MtrsRelLawoRgul/selectScrn.do,금융안심포털,"필수(법령링크, 근거제시 시 추가 전처리&수집필요)",include_full,본문과 법령 링크를 수집하고 링크 대상 문서는 별도 검토 큐에 등록,legal_resource_index,requests_html_links,fins_legal_index_v1,no,linked_documents_queue,body_plus_link_metadata,no,W1_ASSET,not_tested,원본 HTML + 구조 보존 본문 + 메타데이터,예솜24 기능4 대표항목 답변이 직접 지목한 관련 법령·규정 메뉴,예금자보호법과 착오송금반환지원 규정·시행세칙 원문 제공,
26,MT-011,착오송금 반환 신청,착오송금 반환 신청,착오송금반환지원 > 소개와 방법안내 > 상황선택,https://fins.kdic.or.kr/ir/aplygudn/MtrsStutChc/selectScrn.do,금융안심포털,"필수(세부링크 로그인필요, 링크만 안내)",include_full,상황 분기 설명은 수집하고 로그인 필요 하위 서비스는 링크만 기록,landing_router,requests_html_links,fins_router_v1,no,outbound_links_metadata,body_plus_link_metadata,no,W1_ASSET,not_tested,원본 HTML + 구조 보존 본문 + 메타데이터,예솜24 착오송금인·착오송금수취인 분기 구조와 개념 일치,착오송금인/착오송금수취인 상황에 따라 메뉴를 분기하는 진입화면,
27,MT-012,착오송금 반환 신청,착오송금 반환 신청,착오송금반환지원 > 소개와 방법안내 > 방문접수안내,https://fins.kdic.or.kr/ir/aplygudn/MtrsVstRcptGudn/selectScrn.do,금융안심포털,필수,include_full,업무 질문의 직접 근거로 사용 가능한 공식 안내 페이지,static_page,requests_html,fins_static_v1,no,none,full_body,no,W1_STATIC,not_tested,원본 HTML + 구조 보존 본문 + 메타데이터,예솜24 4.4 방문 신청 항목과 개념·주소 일치,방문접수 절차와 운영시간·본사 주소 안내,
28,MT-013,착오송금 반환 신청,착오송금 반환 신청,착오송금반환지원 > 착오송금인 > 유의사항,https://fins.kdic.or.kr/ir/msdrpr/MsdrprAttnMttr/selectScrn.do,금융안심포털,필수,include_full,업무 질문의 직접 근거로 사용 가능한 공식 안내 페이지,static_page,requests_html,fins_static_v1,no,none,full_body,no,W1_STATIC,not_tested,원본 HTML + 구조 보존 본문 + 메타데이터,예솜24 착오송금인 신청방법 항목의 신청대상·제외사유와 개념 일치,"반환지원 대상금액·기간과 제외대상, 비용률 예시 안내",
29,MT-014,착오송금 반환 신청,착오송금 반환 신청,착오송금반환지원 > 착오송금인 > 반환지원 신청하기 > 신청대상여부 확인,https://fins.kdic.or.kr/ir/msdrpr/selectAplyQlfcIdntyRslt.do,금융안심포털,필수(링크만 안내),link_only,자가진단 결과를 대량 생성하지 않고 공식 기능 링크와 이용 목적만 제공,interactive_self_check,link_metadata_only,link_metadata_v1,no,outbound_links_metadata,link_metadata_only,no,META,not_tested,서비스명 + 이용 목적 + 인증 여부 + 공식 URL,"예솜24 문서가 이 URL일 것으로 직접 예상한 화면이며, 실제로도 신청방법 항목과 일치",7개 항목을 체크해 반환지원 신청대상 여부 자가진단,
30,MT-015,착오송금 반환 신청,착오송금 반환 신청,착오송금 반환지원제도 > 착오송금반환지원 신청대상,https://www.kdic.or.kr/sp/kmrs/kmrsItrdAplyTrgt/selectScrn.do,예금보험공사,제외,exclude,현재 조사 결과에서 범위 제외로 결정됨,static_page,exclude,skip,no,none,none,no,SKIP,skipped_by_policy,수집하지 않음,"예솜24 기능4와 주제는 같지만, 구체적 금액한도·기한은 예솜24에 없던 내용",신청 가능 금액한도(5만~1억원)와 신청기한·제외사유 안내,
31,DA-001,채무조정 안내,채무조정 안내,채무조정 재기지원 > 채무조정제도,https://www.kdic.or.kr/rb/lbltajmt/LbltAjmtSprtLbltAjmtSyst/selectScrn.do,예금보험공사,제외 (3번 채무 조정과 8~90프로 이상 곂치는 부분),exclude,KR&C 채무조정 페이지와 대부분 중복되어 대표 문서에서 제외,static_page,exclude,skip,no,none,none,no,SKIP,skipped_by_policy,수집하지 않음,예솜24 기능5 대표항목과 개념 일치,채무조정 신청자격·구비서류와 신청 불가 사유 안내,
32,DA-002,채무조정 안내,채무조정 안내,채무조정 재기지원 > 채무정보 조회 ＆ 상담신청,https://www.kdic.or.kr/rb/lbltajmt/LbltAjmtSprtLbltInfoInqDscsnAply/selectScrn.do,예금보험공사,필수,link_only,본인인증이 필요한 조회·상담 서비스이므로 기능 설명과 공식 링크만 저장,authenticated_service,link_metadata_only,link_metadata_v1,yes,none,service_description_only,no,META,not_tested,서비스명 + 이용 목적 + 인증 여부 + 공식 URL,예솜24 5.2 채무 확인 방법 항목과 동일한 목적의 온라인 채널,본인인증으로 파산금융회사·KR&C 채무 여부를 온라인 확인·상담신청,
33,DA-003,채무조정 안내,채무조정 안내,채무조정,https://www.kdic.or.kr/di/relsite/PbcrKrncLblarb/selectScrn.do,예금보험공사,필수,include_full,업무 질문의 직접 근거로 사용 가능한 공식 안내 페이지,static_page,requests_html,kdic_static_v1,no,none,full_body,no,W1_STATIC,not_tested,원본 HTML + 구조 보존 본문 + 메타데이터,예솜24 5.1·5.3·5.4와 동일 개념을 KR&C 페이지가 더 상세히 제공,"신청불가 사유, 구비서류, 감면율(최대 70~90%), 타기관 비교표를 담음",
34,DA-004,채무조정 안내,채무조정 안내,채무조정 재기지원 > 신용회복 지원,https://www.kdic.or.kr/rb/lbltajmt/LbltAjmtSprtCredRcvrySprt/selectScrn.do,예금보험공사,분석필요,review,신용회복위원회 제도를 6개 업무의 답변 범위에 포함할지 결정 필요,adjacent_policy,pending_review,review_pending,no,none,pending_review,yes,REVIEW,pending_decision,판단 근거 기록 후 수집 여부 확정,"예솜24 기능5와 주제는 같지만, 신용회복위원회 협약 채널은 예솜24에 없던 내용",신용회복위원회를 통한 신용회복 지원 제도 안내,
35,DA-005,채무조정 안내,채무조정 안내,채무조정 재기지원 > 파산면책,https://www.kdic.or.kr/rb/lbltajmt/LbltAjmtSprtPsnBr/selectScrn.do,예금보험공사,분석필요,review,법원 개인파산·면책을 채무조정 안내 범위에 포함할지 결정 필요,adjacent_policy,pending_review,review_pending,no,none,pending_review,yes,REVIEW,pending_decision,판단 근거 기록 후 수집 여부 확정,"예솜24 기능5와 주제는 같지만, 법원을 통한 개인파산 절차는 예솜24에 없던 내용",법원을 통한 개인파산·면책 절차 안내,
36,DA-006,채무조정 안내,채무조정 안내,채무조정 재기지원 > 개인회생,https://www.kdic.or.kr/rb/lbltajmt/LbltAjmtSprtPsnRg/selectScrn.do,예금보험공사,분석필요,review,법원 개인회생을 채무조정 안내 범위에 포함할지 결정 필요,adjacent_policy,pending_review,review_pending,no,none,pending_review,yes,REVIEW,pending_decision,판단 근거 기록 후 수집 여부 확정,"예솜24 기능5와 주제는 같지만, 법원을 통한 개인회생 절차는 예솜24에 없던 내용",법원을 통한 개인회생 절차(3~5년 분할상환) 안내,
37,DA-007,채무조정 안내,채무조정 안내,지원자금관리 > 부채증명원/금융거래정보신청,https://www.kdic.or.kr/sp/sprtfund/SprtFndDebtDlngAplyGudn/selectScrn.do,예금보험공사,링크 only,link_only,증명서 발급 절차와 공식 신청 경로를 안내하는 메타데이터만 저장,application_service,link_metadata_only,link_metadata_v1,no,outbound_links_metadata,service_description_only,no,META,not_tested,서비스명 + 이용 목적 + 인증 여부 + 공식 URL,"예솜24 5.2 채무 확인 방법과 주제는 같지만, 공식 증명서 발급 절차는 예솜24에 없던 내용",파산금융회사 채무자의 부채증명원·금융거래정보 발급 신청,
38,DA-008,채무조정 안내,채무조정 안내,고객센터 > FAQ > 채무정보조회,https://fins.kdic.or.kr/cm/bbs/selectFaqLbltInfoInq.do,금융안심포털,분석필요,review,온라인 채무정보 조회 FAQ를 독립 근거 문서로 적재할지 판단 필요,faq,pending_review,review_pending,no,none,pending_review,yes,REVIEW,pending_decision,판단 근거 기록 후 수집 여부 확정,"예솜24 5.2 채무 확인 방법과 목적은 같지만, 온라인 조회 채널은 예솜24에 없던 내용",휴대폰 인증을 통한 온라인 채무정보 조회 방법을 안내하는 FAQ,
39,HP-001,은닉재산 신고,은닉재산 신고,지원자금관리 > 부실책임조사 > 금융부실관련자 은닉재산신고 > 신고센터,https://www.kdic.or.kr/sp/sprtfund/SprtFndCncmDclrGudn/selectScrn.do,예금보험공사,필수,include_full,업무 질문의 직접 근거로 사용 가능한 공식 안내 페이지,static_page,requests_html,kdic_static_v1,no,none,full_body,no,W1_STATIC,not_tested,원본 HTML + 구조 보존 본문 + 메타데이터,예솜24 기능6 대표항목과 완전히 일치,포상금 산정기준(최대 30억원)과 이메일·인터넷·우편·방문 신고방법 안내,
40,HP-002,은닉재산 신고,은닉재산 신고,고객센터 > FAQ > 은닉재산신고,https://fins.kdic.or.kr/cm/bbs/selectFaqCncmPrptDclr.do,금융안심포털,필수,include_full,업무 질문의 직접 근거로 사용 가능한 공식 안내 페이지,faq,requests_html,fins_faq_v1,no,none,full_body,no,W1_STATIC,not_tested,원본 HTML + 구조 보존 본문 + 메타데이터,예솜24 포상금·처리절차·비밀보장 항목과 개념 일치,포상금 지급기준표와 신고 절차·비밀보장 원칙에 대한 FAQ,
41,HP-003,은닉재산 신고,인접제도(불법행위신고),지원자금관리 > 부실책임조사 > 금융부실관련자 불법행위신고 > 신고센터 소개,https://www.kdic.or.kr/sp/sprtfund/SprtFndIvsfalUnrlIlglDclrGudn/selectScrn.do,예금보험공사,"다만 은닉재산 신고와 다른 제도이므로 억지로 ""은닉재산 신고""에 넣지 말고, ""인접제도(불법행위신고)""로 별도 태깅",review,은닉재산 신고와 다른 불법행위 신고 제도이므로 별도 도메인 태깅 여부 결정 필요,adjacent_service,pending_review,review_pending,no,none,pending_review,yes,REVIEW,pending_decision,판단 근거 기록 후 수집 여부 확정,"은닉재산신고와 체계는 유사하나, 횡령·배임 등 별도 신고대상을 다루는 인접 제도",금융회사 부실관련자의 횡령·배임 등 불법행위 신고 접수,
42,HP-004,은닉재산 신고,은닉재산 신고,부실책임조사 진행현황 조회 (개인정보 수집이용 동의),https://www.kdic.or.kr/voc/protect/CareerRegistAction/list,예금보험공사,미수집,exclude,개인정보 동의 및 진행현황 조회 화면으로 RAG 본문 수집 대상이 아님,consent_page,exclude,skip,no,none,none,no,SKIP,skipped_by_policy,수집하지 않음,"은닉재산 신고 경로와 같은 부실책임조사 영역이지만, 신고가 아닌 조사 진행현황 조회 기능이라 확인 필요",부실책임조사 진행현황을 조회하기 위한 개인정보 수집·이용 동의 화면,
